Real Name,Ring Name,Gender,Birth Place,Finisher,Age_yrs
Meiko Satomura  ,Meiko Satomura,Female,"Niigata, Niigata, Japan",Death Valley Bomb,44
Sydney Jeannine Zmrzel,Maxxine Dupri,Female,"Phoenix, Arizona",Japanese Ocean Cyclone Suplex,26
Maryse Mizanin,Maryse,Female,"Montréal, Quebec, Canada",French Kiss,40
Mark Coffey,Mark Coffey,Male,"Glasgow, Scotland",Crowning Glory,33
Hassan Hamin Assad,MVP,Male,"Liberty City, Miami, Florida",Playmaker,50
Aoife Cusack,Lyra Valkyria,Female,"Dublin, Ireland",Diving Split Legdrop,27
Andrew William Hankinson,Luke Gallows,Male,"Cumberland, Maryland",Gallows Pole / Hangman's Noose,39
Marcel Barthel,Ludwig Kaiser,Male,"Pinneberg, Schleswig-Holstein, West Germany",Running Enzuigiri,33
Roman Macek,Luca Crusifino,Male,"McKees Rocks, Pennsylvania",Modified Neckbreaker,23
Valerie Loureda,Lola Vice,Female,"Miami, Florida",Spinning Back Kick,25
Logan Alexander Paul,Logan Paul,Male,"Westlake, Ohio",One Lucky Punch,28
Gionna Jene Daddio,Liv Morgan,Female,"Paramus, New Jersey",ObLIVion,29
Brian Zachary Pillman,Lexis King,Male,"Erlanger, Kentucky",Dying Promise,30
Anriel Howard,Lash Legend,Female,"Atlanta, Georgia",Fireman's Carry into Spinebuster,26
Shaun Ricker,LA Knight,Male,"Hagerstown, Maryland",BFT - Blunt Force Trauma,41
Kofi Nahaje SarkodieMensah,Kofi Kingston,Male,"Kumasi, Ghana, West Africa",Trouble in Paradise,42
Sam Stoker,Kit Wilson,Male,"London, England",Spilt Milk - with Lewis Howley,29
Kayla Inlay,Kiana James,Female,"Sioux City, Iowa",401k,26
Kevin Yanick Steen,Kevin Owens,Male,"Saint-Jean-sur-Richelieu, Quebec, Canada",Pop-up Powerbomb,39
Kelly Verbil,Kelly Kincaid,Female,"Springfield, Missouri",Tangerine Dream,31
Allyssa Lane,Kayden Carter,Female,"Winter Park, Florida",Rope Hang Neckbreaker,35
Kacy Esther Catanzaro,Katana Chance,Female,"Glen Ridge, New Jersey",360° Double Knee Facebreaker,33
Kevin Kesar,Karrion Kross,Male,"New York, New York",The Final Prayer,38
Chad Allegra,Karl Anderson,Male,"Asheville, North Carolina",Rocket Kick,43
Kaori Hsako  ,Kairi Sane,Female,"Hikari, Yamaguchi, Japan",InSane Elbow,35
Jacob Andrew Kasper,Julius Creed,Male,"Wheeling, West Virginia",Military Press Slam followed by a Running Throat Clothesline - with Brutus Creed,29
Joshua Bruns,Josh Briggs,Male,"Bullhead City, Arizona",M5,30
John Anthony Nicholas Gargano,Johnny Gargano,Male,"Cleveland, Ohio",Gargano Escape,36
John Felix Anthony Cena Jr,John Cena,Male,"West Newbury, Massachusetts",Attitude Adjustment / F-U,46
Joseph Ruby,Joe Gacy,Male,"Franklinville, New Jersey",Upside Down,36
Joseph Coffey,Joe Coffey,Male,"Glasgow, Scotland",All the Best for the Bells,35
Michael Paris,Joaquin Wilde,Male,"Los Angeles, California",630° Senton,37
Yuvraj Singh Dhesi,Jinder Mahal,Male,"Calgary, Alberta, Canada",Khallas,37
Jonathan Solofa Fatu Jr,Jimmy Uso,Male,"San Francisco, California",Samoan Splash,38
Joshua Samuel Fatu,Jey Uso,Male,"San Francisco, California",Samoan Splash,38
Jerry ONeil Lawler,Jerry Lawler,Male,"Memphis, Tennesse",Piledriver,73
Jamara Garrett,Jakara Jackson,Female,"Albuquerque, New Mexico",MKO - with Lash Legend,28
Jade Cargill,Jade Cargill,Female,"Vero Beach, Florida",Jaded,31
Taylor Grado,Jacy Jayne,Female,"Tampa, Florida",Discus Big Boot,27
Jordan Devlin,JD McDonagh,Male,"Bray, County Wicklow, Republic of Ireland",Devlin Side / Devil Inside,33
Emily Andzulis,Ivy Nile,Female,"Knoxville, Tennessee",Torture Rack,31
Todd Smith,Ivar,Male,"Lynn, Massachusetts",Spin Kick of Doom,39
Courtney Florence Stewart,Isla Dawn,Female,"Glasgow, Scotland",Air Raid Crash,29
Samantha De Martin,Indi Hartwell,Female,"Melbourne, Australia",Slingshot Rocket Kick,27
Ilja Rukober  ,Ilja Dragunov,Male,"Moscow, Russia",Grüße aus Moskau,30
Masami date ,IYO SKY,Female,"Kamakura, Kanagawa, Japan",Moonsault,33
Humberto Garza Solano Carrillo,Humberto Carrillo,Male,"Monterrey, Nuevo Leon, Mexico",Aztec Press,28
Joseph Sculthorpe,Hank Walker,Male,"Hampstead, North Carolina",Running Crossbody,25
Walter Hahn,Gunther,Male,"Vienna, Austria",Beheading,36
Matthew Farrelly,Grayson Waller,Male,"Sydney, New South Wales, Australia",Stunner,33
Fabian Achner,Giovanni Vinci,Male,"Falzes, South Tyrol, Trentino-Alto Adige/Südtirol, Italy",Hasta La Vista,33
Priscilla Lee Kelly,Gigi Dolin,Female,"Douglasville, Georgia",Roma Clutch,26
Shoichi Funaki  ,Funaki,Male,"Tokyo, Japan",Crane Kick,55
Fergal Devitt,Finn Blor,Male,"Bray, County Wicklow, Ireland",Coup de Grâce,42
Theresa Schuessler,Fallon Henley,Female,"Chelsea, Michigan",Hoedown,29
Raymond Rowe,Erik,Male,"Cleveland, Ohio",Death Rowe,39
Lewis Howley,Elton Prince,Male,"Grays, England",Spilt Milk - with Sam Stoker,26
Karissa Rivera,Elektra Lopez,Female,"Little Ferry, New Jersey",Elektra Bomb,31
Karl Fredericks,Eddy Thorpe,Male,"Reno, Nevada",MD - Manifest Destiny,33
Brendan Vink,Duke Hudson,Male,"Adelaide, Australia",Crucifix Powerbomb,33
Andrew McLean Galloway IV,Drew McIntyre,Male,"Ayr, Scotland",Claymore,38
Drew Gulak,Drew Gulak,Male,"Philadelphia, Pennsylvania",Gu-Lock / University Stretch,36
Muoz Gonzlez,Dragon Lee,Male,"Tala, Jalisco, Mexico",Operation Dragon,28
Dominik scar Gutirrez,Dominik Mysterio,Male,"San Diego, California",619,26
Christopher James Dijak,Dijak,Male,"Leominster, Massachusetts",Feast Your Eyes,34
Samuel Shaw,Dexter Lumis,Male,"Jacksonville, Florida",Silence,39
Sean Tan Li Hao,Dante Chen,Male,Singapore,Dante's Inferno,27
Robert Steveson,Damon Kemp,Male,"Apple Valley, Minnesota",Running Powerslam,24
Luis Martinez,Damian Priest,Male,"West Nyack, New York",South of Heaven,41
Cheree Georgina Crowley,Dakota Kai,Female,"East Auckland, New Zealand",Kai-ropractor,35
Ral Mendoza,Cruz Del Toro,Male,"Córdoba, Veracruz, Mexico",Springboard Moonsault,32
Matthew Polinsky,Corey Graves,Male,"Pittsburgh, Pennsylvania",Lucky 13,39
Brianna Coda,Cora Jade,Female,"Chicago, Illinois",Pump Kick,22
Cody Garrett Runnels Rhodes,Cody Rhodes,Male,"Marietta, Georgia",Cross Rhodes / Queen's Crossbow,38
Chelsea Anne Cardona ne Green,Chelsea Green,Female,"Victoria, British Columbia, Canada",I'm Prettier / Vanprettier,32
Ashley Elizabeth Fliehr,Charlotte Flair,Female,"Charlotte, North Carolina",Figure-Eight,37
Mitchell Lavalley,Channing Stacks Lorenzo,Male,"Lowell, Indiana",Cement Shoes,26
Charles Edward Betts,Chad Gable,Male,"Saint Michael, Minnesota",Ankle Lock,37
Cederick Alexander Johnson,Cedric Alexander,Male,"Charlotte, North Carolina",Lumbar Check,34
Christian Brigham,Carmelo Hayes,Male,"Framingham, Massachusetts",Nothing But Net,29
Leah Van Dale,Carmella,Female,"Spencer, Massachusetts",Code of Silence,36
Carlos Edwin Coln Jr,Carlito,Male,"San Juan, Puerto Rico",Backstabber / Backcracker,44
Candice Gargano ne Dawson,Candice LeRae,Female,"Riverside, California",Ms. Garga-no-escape,38
Trevor Lee Caddell,Cameron Grimes,Male,"Cameron, North Carolina",Orange Crush,30
Bryan Jess Kelly,Byron Saxton,Male,"Burke, Virginia",Saxtonation,42
Peter Thomas England,Butch,Male,"Birmingham, West Midlands, England",Bitter End / Drop Dead,30
Drew Kasper,Brutus Creed,Male,"Lexington, Massachusetts",Brutusball,27
Jermaine Haley,Bronson Reed,Male,"Adelaide, South Australia",Tsunami,35
Bronson Rechsteiner,Bron Breakker,Male,"Woodstock, Georgia",Military Press Powerslam,26
Brock Edward Lesnar,Brock Lesnar,Male,"Webster, South Dakota",F-5,46
Adam Joseph Scherr,Braun Strowman,Male,"Sherrills Ford, North Carolina",Running Powerslam,40
Robert Booker Tio Huffman,Booker T,Male,"Houston, Texas",Scissors Kick,58
Franklin Roberto Lashley,Bobby Lashley,Male,"Junction City, Kansas",The Hurt Lock,47
Yanbo Wang ,Boa,Male,"Beijing, China",Inverted Facelock Backbreaker,28
Beatrice St Clere Priestley,Blair Davenport,Female,"Harrogate, North Yorkshire, England",Flawless Victory,27
Ettore Ewen,Big E,Male,"Tampa, Florida",Big Ending,37
Bianca Nicole Crawford ne Blair,Bianca Belair,Female,"Knoxville, Tennessee",K.O.D.,34
Rebecca Quin,Becky Lynch,Female,"Limerick, Republic of Ireland",Dis-arm-her,36
Pamela Rose Martinez,Bayley,Female,"Newark, California",Rose Plant,34
Thomas Pestock,Baron Corbin,Male,"Lenexa, Kansas",End of Days,39
Carlos Ruiz,Axiom,Male,"Madrid, Spain",Golden Ratio,26
Austin Tyler White,Austin Theory,Male,"McDonough, Georgia",A-Town Down,26
Kanako Urai  ,Asuka,Female,"Osaka, Japan",Asuka Lock / Kana Lock / Dojime Chickenwing Facelock,42
Tehuti Miles,Ashante Adonis,Male,"Hammonton, New Jersey",Long Kiss Goodnight,31
Bianca Carelli,Arianna Grace,Female,"Mississauga, Ontario, Canada",Forward Fireman's Carry Slam,26
Sesugh Uhaa,Apollo Crews,Male,"Sacramento, California",The Chariot,36
Gary Gordon,Angelo Dawkins,Male,"Cincinnati, Ohio",Cash-Out / The Anointment,33
ngel Humberto Garza Solano,Angel Garza,Male,"Monterrey, Nuevo León, Mexico",Wing Clipper,31
Chance Barrow,Andre Chase,Male,"Eden, North Carolina",Hammerlock Reverse STO,34
Camron Clay,Amari Miller,Female,"Kansas City, Missouri",Cravate Jawbreaker,26
Alexis Kaufman,Alexa Bliss,Female,"Columbus, Ohio",Twisted Bliss,32
Kayleigh Rae,Alba Fyre,Female,"Glasgow, Scotland",KLR Bomb,31
Akira Tozawa  ,Akira Tozawa,Male,"Nishinomiya, Hyogo, Japan",Diving Senton,38
Adam John Pearce,Adam Pearce,Male,"Lake Forest, Illinois",Rackbomb,45
Allen Neal Jones,AJ Styles,Male,"Jacksonville, North Carolina",Styles Clash,46
